Cobalto,,Cobre,
Long.de onda (nm),Abs,Long.de onda (nm),Abs
408.9935303,0.0329500698,609.0061646,0.1569372565
407.9899597,0.0324264877,608.0077515,0.1562564671
406.9862366,0.0322409831,607.0090332,0.1560022235
405.9822693,0.0337624252,606.0100708,0.1528616995
405.0167847,0.0326953158,605.0109253,0.1528532803
404.0124817,0.0349186696,604.0114746,0.1503265202
403.0080872,0.0325042866,603.0117188,0.1470667273
402.003479,0.0318007171,602.0117188,0.1457561404
400.9987183,0.0319881514,601.0114746,0.1444319934
,,600.0108643,0.1429547369
,,599.0101318,0.1434383094
,,598.0090332,0.1402096003
,,597.0078125,0.1392526329
,,596.0061646,0.1363216043
,,595.0043335,0.1346966922
,,594.0021973,0.1341473609
,,592.9998779,0.1332730949
,,591.9971924,0.1313122213
,,590.9943237,0.1297743469
,,589.9912109,0.1292951405
,,588.9877319,0.1286310256
,,587.9841309,0.1270464063
,,587.017395,0.1255300641
,,586.0132446,0.1245649979
,,585.0087891,0.12388587
,,584.0040894,0.123021476
,,582.9991455,0.1211767942
,,581.9940186,0.1203039438
,,580.9884644,0.1195608675
,,579.9827881,0.1198652908
,,579.0140381,0.1182075962
,,578.0078735,0.1178816482
,,577.0014038,0.1167165041
,,575.9946899,0.1155845448
,,574.9877319,0.1155021265
,,574.0178223,0.1134043112
,,573.0103149,0.1133713722
,,572.0026855,0.1120398715
,,570.9946289,0.1109628305
,,569.9864502,0.1096798331
,,569.0153198,0.109429583
,,568.0066528,0.1085304767
,,566.9976196,0.1082677692
,,565.9884644,0.1062440276
,,565.0163574,0.1061180159
,,564.0067139,0.1056400388
,,562.9967041,0.1057925895
,,561.9865723,0.1045205072
,,561.0134888,0.1036419496
,,560.0028687,0.1034494117
,,558.9919434,0.1035287827
,,558.0182495,0.1016801298
,,557.0067749,0.1013843939
,,555.9951782,0.1020931602
,,554.9832764,0.1012288705
,,554.008667,0.0999947637
,,552.9962158,0.1000756919
,,551.9836426,0.0985479206
,,551.0083008,0.0985216424
,,549.9951782,0.09838406
,,548.9819336,0.0978354737
,,548.0058594,0.0981800184
,,546.9920654,0.098200202
,,546.015564,0.0973231494
,,545.0012817,0.0971957222
,,543.9867554,0.0974067822
,,543.0095825,0.0974098593
,,541.9945679,0.0978805199
,,541.0169678,0.0977293924
,,540.0015259,0.0974439755
,,538.9858398,0.0988395885
,,538.0075684,0.0992429555
,,536.9914551,0.0992955938
,,536.0126953,0.0986064822
,,534.9960327,0.099561885
,,534.0168457,0.099159427
,,532.9998169,0.1008200943
,,531.9824829,0.1011353806
,,531.0026245,0.1014794707
,,529.9848022,0.1039839536
,,529.0045166,0.1017914414
,,527.9863281,0.1019502729
,,527.0055542,0.1029836461
,,525.9868774,0.1031981334
,,525.0057373,0.103281036
,,523.9866333,0.1038429216
,,523.0050049,0.1046175286
,,521.9854126,0.1054907739
,,521.0032959,0.1051152572
,,519.9833374,0.1064208373
,,519.0008545,0.1061573848
,,518.0181274,0.1080210507
,,516.9974976,0.1081825495
,,516.0143433,0.106979847
,,514.9931641,0.1080693528
,,514.0096436,0.1083525717
,,512.9880371,0.1088299602
,,512.0040894,0.1093155295
