;3 min;15 min;30 min;47 min;57 min;70 min;76 min;88 min;Final;Blanco
Long.de onda (nm); Abs; Abs;Abs;Abs;Abs;Abs;Abs;Abs; Abs;Abs
709.0081787;1.326787353;1.044032812;0.5817346573;0.4441991746;0.4141785502;0.3859750628;0.3678283989;0.3426293433;0.1174816266;1.557616234
708.0033569;1.328660846;1.049020052;0.5814036131;0.4455432892;0.4147392511;0.3882678449;0.3693553805;0.3426268697;0.1182272732;1.556105494
706.9981689;1.326246023;1.050366163;0.584461391;0.4455598891;0.4158649445;0.3880049586;0.370397985;0.3443487287;0.119636856;1.560135722
705.9926758;1.334159851;1.049792409;0.584425807;0.4471060634;0.4165252745;0.3892781436;0.3706746995;0.3439054489;0.120278433;1.558142185
704.9867554;1.350425959;1.050408006;0.5874671936;0.4495289028;0.4197676778;0.3917712569;0.3728916645;0.3471795321;0.1211689636;1.555613041
704.0165405;1.333483219;1.045681;0.5894197822;0.450502038;0.420299083;0.392144382;0.3744218349;0.3475190103;0.1224876419;1.557416916
703.0100708;1.340601683;1.048280835;0.5902328491;0.452055335;0.4201607704;0.3933244944;0.3759251833;0.3501595557;0.1244829372;1.561062694
702.0031738;1.33841157;1.051468849;0.5914942622;0.4535180926;0.4219658375;0.3946098983;0.3766100705;0.3486967087;0.1259385049;1.555848002
700.9959717;1.335810661;1.049765229;0.5921268463;0.4541161954;0.4239455163;0.3951362669;0.3780528605;0.3512994945;0.1271938235;1.568216443
699.9884644;1.351811647;1.053379297;0.5933035612;0.4560042918;0.4243874252;0.3971954584;0.3796014786;0.352657944;0.1292127967;1.568067551
699.0166016;1.351112962;1.05729723;0.5943797827;0.4572731853;0.4263100922;0.3973583579;0.3802446723;0.3525624275;0.1309131235;1.57435751
698.0084839;1.346649051;1.052227378;0.5963481069;0.4575080276;0.4277600348;0.3989969492;0.3815918267;0.35476017;0.1318788379;1.570888162
696.999939;1.33552587;1.058972597;0.5952683687;0.4588243067;0.4293423593;0.3996877372;0.3839347959;0.3569086492;0.133101359;1.577397585
695.9912109;1.346743226;1.06071806;0.600394249;0.4607308209;0.4312810004;0.4026666582;0.3841736317;0.3568977118;0.1355518401;1.578097224
695.0180664;1.357175231;1.064451933;0.6028144956;0.462308079;0.4312491119;0.404854238;0.3873379529;0.3594652116;0.1387593746;1.576321244
694.008606;1.346825123;1.056959748;0.6011005044;0.4637083709;0.4331109524;0.4051849544;0.3880287111;0.361299932;0.1380332857;1.559558153
692.9988403;1.355264783;1.067008615;0.6056152582;0.4650020599;0.4336769283;0.407817632;0.3909110427;0.3634651899;0.1413438916;1.535080552
691.9886475;1.352764726;1.067705035;0.6038880944;0.4672215283;0.434894681;0.4082762897;0.3899719715;0.3627737761;0.1411284208;1.566365838
691.0143433;1.35028398;1.072141886;0.6075701714;0.4675832391;0.4355832934;0.4092043042;0.3907533586;0.3632563949;0.1431977898;1.562742472
690.00354;1.362078309;1.062159777;0.6071961522;0.4677719176;0.4370309412;0.4110849798;0.3924073875;0.3642273545;0.1440964043;1.591553092
688.9924927;1.360526085;1.062383652;0.6084141731;0.4694966972;0.4387218356;0.4108911455;0.3924165666;0.3663847148;0.1459465772;1.565213799
688.0171509;1.347944021;1.075694919;0.6081661582;0.4707331061;0.4401465654;0.4125413299;0.3950930834;0.3673868775;0.1467529386;1.555687904
687.0054321;1.35380888;1.070237994;0.6101788282;0.4723783731;0.4392874539;0.4132239521;0.3954547644;0.3689979315;0.1483090669;1.566851616
685.9934082;1.356907129;1.065326452;0.6131411195;0.4734917283;0.440742135;0.4144248068;0.3952140808;0.3699270189;0.1512890011;1.580680609
685.0172119;1.357893705;1.072508693;0.6108484864;0.473135978;0.4412182271;0.4156605601;0.3968763053;0.3702763319;0.1519613564;1.554345012
684.0044556;1.361600995;1.076181412;0.611705184;0.4735741913;0.4420965612;0.4150119126;0.3966090083;0.3700730801;0.1524964422;1.549913406
