muestra2;
Long.de onda (nm);Abs
421.9981384;0.6938351989
420.9967346;0.6930187941
419.9951477;0.6924194098
418.9934082;0.6924213767
417.9915161;0.6919757724
416.9893799;0.6907758117
415.9871521;0.6898397803
414.9846802;0.6893415451
413.9821777;0.6886807084
413.0179749;0.6864411831
412.0150146;0.6850981712
411.0119019;0.6847798824
410.008667;0.6831111908
409.005188;0.6815782189
408.0016174;0.680383265
406.9978638;0.6804071069
405.9939575;0.6779276729
404.9898376;0.6756305695
403.9855652;0.6752237678
402.9811707;0.6744223237
402.0152283;0.6716986299
401.010437;0.6708320975
400.0055542;0.6695803404
399.0004883;0.6674518585
397.9952698;0.6665602922
396.9898376;0.6655113697
395.984314;0.664681077
395.0172729;0.6620751023
394.0113831;0.6612281799
393.0053406;0.6609055996
391.9991455;0.6587116718
390.9927673;0.6582106352
389.9862671;0.6560447216
389.0183411;0.6554377079
388.0115051;0.6551606655
387.0045166;0.6549574733
385.9973755;0.653247118
384.9901123;0.6537700891
383.982605;0.6531631351
383.0137634;0.653375864
382.006012;0.6534232497
380.9980774;0.653726995
379.9899902;0.6544291973
378.981781;0.6567774415
378.0121765;0.6567574143
377.0036316;0.6585027575
375.9949646;0.6615507603
374.9861145;0.6640796065
374.0159607;0.6693748832
373.0068054;0.6750840545
371.9975281;0.6820291877
370.9880676;0.6872389317
370.0173035;0.6964495778
369.0075684;0.7020756006
367.9976807;0.7106272578
366.9876404;0.7177119851
366.0163269;0.7236630917
365.0059814;0.7268372774
363.9955139;0.730753839
362.9848633;0.7359535694
362.01297;0.7379789352
361.0020752;0.7393581271
359.9909668;0.7438700795
359.0186768;0.7458594441
358.0073547;0.7474708557
356.9958191;0.7497404218
355.9841614;0.7507338524
355.0112915;0.7526957393
353.9993591;0.7527079582
352.9872742;0.7543287873
352.0140076;0.7573400736
351.0016479;0.7576349974
349.9891663;0.7586334348
