muestra1; ; 3min; ; 
Long.de onda (nm); Abs; Long.de onda (nm); Abs; 
535.0058594; 0.8266598582; 535.0058594; 1.334731102; 
533.9889526; 0.8235706687; 533.9889526; 1.332631826; 
533.0095825; 0.8219046593; 533.0095825; 1.330269337; 
531.9922485; 0.8178982139; 531.9922485; 1.33242166; 
531.0124512; 0.8158591986; 531.0124512; 1.333267093; 
529.9946899; 0.8122597933; 529.9946899; 1.33178401; 
529.0144043; 0.8084336519; 529.0144043; 1.331576467; 
527.9962158; 0.8047507405; 527.9962158; 1.33555162; 
527.0155029; 0.8004703522; 527.0155029; 1.330782294; 
525.9967651; 0.7964558005; 525.9967651; 1.330753565; 
525.015686; 0.7900617123; 525.015686; 1.330960035; 
523.996521; 0.7857216597; 523.996521; 1.331522346; 
523.0149536; 0.779163003; 523.0149536; 1.330649853; 
521.9953613; 0.7721322775; 521.9953613; 1.331373096; 
521.0133667; 0.7660744786; 521.0133667; 1.332786202; 
519.9932861; 0.7592223883; 519.9932861; 1.32940352; 
519.0108643; 0.7528294325; 519.0108643; 1.330349565; 
517.9904175; 0.7451182008; 517.9904175; 1.335097551; 
517.0075073; 0.7378997803; 517.0075073; 1.330174327; 
515.9866333; 0.7297615409; 515.9866333; 1.33121419; 
515.0032959; 0.7221823335; 515.0032959; 1.332077146; 
513.9819336; 0.7122560143; 513.9819336; 1.331150651; 
512.99823; 0.7043988705; 512.99823; 1.335115314; 
512.0142212; 0.6968277097; 512.0142212; 1.327779889; 
510.9921875; 0.6868075132; 510.9921875; 1.328480005; 
510.007843; 0.6774721742; 510.007843; 1.332388878; 
508.9853821; 0.6674405932; 508.9853821; 1.331095338; 
508.0005798; 0.6584571004; 508.0005798; 1.331437349; 
507.0155334; 0.6483252645; 507.0155334; 1.331475139; 
505.9924622; 0.6383411288; 505.9924622; 1.329212904; 
505.007019; 0.627091229; 505.007019; 1.334853053; 
503.983429; 0.6180132627; 503.983429; 1.331104279; 
502.9976196; 0.6062284112; 502.9976196; 1.332209826; 
502.0116272; 0.5969324708; 502.0116272; 1.33074224; 
500.9873657; 0.586042285; 500.9873657; 1.332320452; 
500.0009155; 0.5759640336; 500.0009155; 1.326692581; 
499.0141907; 0.5658196211; 499.0141907; 1.330650449; 
497.9894104; 0.5550547242; 497.9894104; 1.328938127; 
497.0023499; 0.5443181396; 497.0023499; 1.32904017; 
496.0150146; 0.5342617035; 496.0150146; 1.328117251; 
494.989563; 0.5234725475; 494.989563; 1.328352213; 
494.0018005; 0.5118204951; 494.0018005; 1.328599095; 
493.013916; 0.5014415383; 493.013916; 1.331562161; 
491.9878235; 0.4914784431; 491.9878235; 1.331816316; 
490.9994812; 0.4803490639; 490.9994812; 1.331154227; 
490.0109558; 0.4693490267; 490.0109558; 1.333477855; 
488.9842224; 0.4582084119; 488.9842224; 1.33166945; 
487.9953308; 0.4503472149; 487.9953308; 1.332711697; 
487.0062256; 0.4410164356; 487.0062256; 1.330618143; 
486.0169373; 0.4298446178; 486.0169373; 1.334656358; 
484.9893188; 0.419285059; 484.9893188; 1.332981467; 
483.9996033; 0.4118896425; 483.9996033; 1.333226323; 
483.0097046; 0.4031866789; 483.0097046; 1.335420251; 
481.9814453; 0.3945156634; 481.9814453; 1.338034034; 
480.9911804; 0.3853075206; 480.9911804; 1.33486557; 
480.0006104; 0.3775713444; 480.0006104; 1.340106487; 
479.0099182; 0.3693160415; 479.0099182; 1.335514188; 
478.0190125; 0.3615224361; 478.0190125; 1.337769508; 
476.9897766; 0.3556581438; 476.9897766; 1.338884115; 
475.9984741; 0.3497514129; 475.9984741; 1.340925694; 
475.007019; 0.3438869417; 475.007019; 1.340427399; 
474.0152893; 0.3379456401; 474.0152893; 1.342610598; 
472.98526; 0.3320752084; 472.98526; 1.343550086; 
471.9931946; 0.3257108033; 471.9931946; 1.347630501; 
471.0009155; 0.3207394779; 471.0009155; 1.348670602; 
470.0084534; 0.3150133789; 470.0084534; 1.34550786; 
469.0158386; 0.3103934824; 469.0158386; 1.349748254; 
467.9847412; 0.3054592013; 467.9847412; 1.352928638; 
